,label,image,description,llm_idx,llm_label
672,ship,datasets/CIFAR/test/ship/0604.png, The image shows a large container ship on the ocean. The main object in the image is a ship. Answer: (I),{'(I)': 102},ship
673,horse,datasets/CIFAR/test/horse/0441.png, There is a horse in the image. The main object in the image is (H).,{'(H)': 64},horse
674,horse,datasets/CIFAR/test/horse/0389.png, There is a horse in the foreground. There are some trees and a house in the background. (H),{'(H)': 89},horse
675,bird,datasets/CIFAR/test/bird/0117.png," The image is blurred, but it looks like a cat sitting on the ground. (D)",{'(D)': 70},cat
676,truck,datasets/CIFAR/test/truck/0081.png," The image is blurred, but it looks like there is a green truck in the image. (J)",{'(J)': 78},truck
677,ship,datasets/CIFAR/test/ship/0665.png, A photo of a black cargo ship with a red waterline. The ship is at anchor in calm blue water. (I),{'(I)': 95},ship
678,automobile,datasets/CIFAR/test/automobile/0220.png," This is a picture of the front of a white car. The car is facing the camera at a slight angle, and the hood and headlights are visible. The car is parked on a paved road, and there are trees and buildings in the background. The main object in the image is a car, so the answer is (B).",{'(B)': 281},automobile
679,airplane,datasets/CIFAR/test/airplane/0253.png," This is an image of a blurred airplane wing. The main object in the image is an airplane.
(A)",{'(A)': 91},airplane
680,cat,datasets/CIFAR/test/cat/0023.png," There is a cat sitting on a wooden table. The main object in the image is a cat, so the answer is (D).",{'(D)': 99},cat
681,ship,datasets/CIFAR/test/ship/0371.png," The image is very blurry. It is hard to tell what is in the image. It looks like a boat, so the main object in the image is '(I)'.",{'(I)': 126},ship
682,airplane,datasets/CIFAR/test/airplane/0018.png, (A),{'(A)': 1},airplane
683,cat,datasets/CIFAR/test/cat/0301.png, There is a brown horse lying on a white cloth. (H),{'(H)': 48},horse
684,automobile,datasets/CIFAR/test/automobile/0622.png," This is a picture of a red car parked on a paved road. There is a white car parked behind it. There are trees and buildings in the background. The main object in the image is a car, which is category (B).",{'(B)': 201},automobile
685,deer,datasets/CIFAR/test/deer/0724.png, There is a brown horse standing in a lush green pasture. The horse is looking away from the camera. There are trees in the background. (H),{'(H)': 136},horse
686,automobile,datasets/CIFAR/test/automobile/0299.png," This is a blurred image of a white car. The main object in the image is a car, which is in category (B).",{'(B)': 101},automobile
687,truck,datasets/CIFAR/test/truck/0056.png, There is a red fire truck on the road with a building in the background. (J),{'(J)': 74},truck
688,frog,datasets/CIFAR/test/frog/0493.png," The image shows a close-up of a brown horse's mane. The main object in the image is a horse, so the answer is (H).",{'(H)': 111},horse
689,horse,datasets/CIFAR/test/horse/0444.png," The image is a photo of a brown horse standing on a green field. The main object in the image is a horse, which is category (H).",{'(H)': 125},horse
690,dog,datasets/CIFAR/test/dog/0920.png, A dog is lying on the floor. (F),{'(F)': 30},dog
691,deer,datasets/CIFAR/test/deer/0558.png," This is a picture of a horse.
(H)",{'(H)': 31},horse
692,cat,datasets/CIFAR/test/cat/0937.png, (H) It is a picture of two horses' eyes.,{'(H)': 1},horse
693,horse,datasets/CIFAR/test/horse/0476.png," The image is of a dark brown horse standing on green grass and facing to the left of the image. The main object in the image is a horse, so the answer is (H).",{'(H)': 155},horse
694,deer,datasets/CIFAR/test/deer/0251.png, There is a horse in the middle of the image. (H),{'(H)': 46},horse
695,deer,datasets/CIFAR/test/deer/0750.png, The image is a photo of a deer standing in a field. The deer is the main object in the image. (E),{'(E)': 95},deer
696,frog,datasets/CIFAR/test/frog/0411.png, A green frog is sitting on a brown rock in a pond. The background is blurred. (G),{'(G)': 79},frog
697,deer,datasets/CIFAR/test/deer/0962.png, There is a deer standing on a wooden dock near the water. (E),{'(E)': 59},deer
698,truck,datasets/CIFAR/test/truck/0967.png," This is a photo of a black truck. The truck is in a parking lot, surrounded by trees. The truck is the main object in the image. (J)",{'(J)': 130},truck
699,cat,datasets/CIFAR/test/cat/0330.png," The image shows a close-up of a cat's eye. The cat is looking at the camera. The main object in the image is a cat, so the answer is (D).",{'(D)': 134},cat
700,truck,datasets/CIFAR/test/truck/0319.png, This is a photo of a truck. The main object in the image is a truck. The truck is white and blue. The truck is on the road. The truck is surrounded by trees and grass. The sky is blue and there are some clouds in the sky. There is a white line on the road. The truck is driving in the right lane. There is a guard rail on the side of the road. The truck is in focus and the background is blurred. The truck is a large object and it is in the center of the image. The truck is the main object in the image. (J),{'(J)': 507},truck
701,ship,datasets/CIFAR/test/ship/0840.png, The image is blurred. But it looks like a toy boat. (I),{'(I)': 53},ship
702,frog,datasets/CIFAR/test/frog/0516.png, A ball of brown yarn. (G),{'(G)': 23},frog
703,airplane,datasets/CIFAR/test/airplane/0492.png," This is a blurred image of an airplane.
(A)",{'(A)': 41},airplane
704,cat,datasets/CIFAR/test/cat/0214.png, (D) It is a cat sitting on a wooden fence.,{'(D)': 1},cat
705,deer,datasets/CIFAR/test/deer/0370.png, There is a deer standing in a field. The main object in the image is (E).,{'(E)': 70},deer
706,truck,datasets/CIFAR/test/truck/0710.png," The image is blurred, but it seems to be a truck. (J)",{'(J)': 51},truck
707,deer,datasets/CIFAR/test/deer/0471.png, There is a photo of an elk standing on a patch of grass. The background is blurred. (E),{'(E)': 85},deer
708,horse,datasets/CIFAR/test/horse/0112.png," There is a horse in the image.
(H)",{'(H)': 32},horse
709,truck,datasets/CIFAR/test/truck/0650.png," A fire truck is parked on a street. There is a building with gray walls in the background. The main object in the image is a fire truck, so the answer is (B).",{'(B)': 155},automobile
710,horse,datasets/CIFAR/test/horse/0309.png," The image is a photo of a brown horse standing in a grassy field. The horse is wearing a bridle and a saddle and is looking at the camera. There is a red barn in the background. The main object in the image is a horse, so the answer is (H) horse.",{'(H)': 237},horse
711,dog,datasets/CIFAR/test/dog/0833.png, There is a blurred image of a dog lying on a wooden floor. (F),{'(F)': 60},dog
712,dog,datasets/CIFAR/test/dog/0081.png, There is a white cat lying on the ground. The background is black. (D),{'(D)': 68},cat
713,truck,datasets/CIFAR/test/truck/0184.png, The main object in the image is a truck. (J),{'(J)': 42},truck
714,horse,datasets/CIFAR/test/horse/0037.png, A horse is standing on the grass. (H),{'(H)': 35},horse
715,automobile,datasets/CIFAR/test/automobile/0870.png," This is a grayscale image of a car. The main object in the image is a car, which is among the category (B) automobile.",{'(B)': 104},automobile
716,cat,datasets/CIFAR/test/cat/0911.png, A dog is standing on the grass. (F),{'(F)': 33},dog
717,horse,datasets/CIFAR/test/horse/0236.png," The image is blurred, but it looks like a close-up of a brown horse grazing in a green field. The main object in the image is a horse, so the answer is (H).",{'(H)': 153},horse
718,ship,datasets/CIFAR/test/ship/0314.png," The image shows a large white boat on a calm blue sea. There are some trees on the distant shore. The main object in the image is a boat, so the answer is (I).",{'(I)': 156},ship
719,frog,datasets/CIFAR/test/frog/0263.png, There is a blurred image of an orange cat lying on the ground. (D),{'(D)': 64},cat
720,deer,datasets/CIFAR/test/deer/0180.png, The image shows a deer standing on a wooden floor. The main object in the image is a deer. Answer: (E),{'(E)': 100},deer
721,automobile,datasets/CIFAR/test/automobile/0926.png," A red sports car is on the road. There is nothing else in the image except the sky and the road. The main object in the image is a car, so the answer is (B).",{'(B)': 154},automobile
722,dog,datasets/CIFAR/test/dog/0854.png, The image is blurry. But it looks like a dog. (F),{'(F)': 47},dog
723,airplane,datasets/CIFAR/test/airplane/0174.png," The image is of an airplane. The main object in the image is an airplane.
(A)",{'(A)': 75},airplane
724,deer,datasets/CIFAR/test/deer/0002.png, There are horses in the image. The main object in the image is (H) horse.,{'(H)': 64},horse
725,ship,datasets/CIFAR/test/ship/0910.png, (I) It is a small boat on the lake.,{'(I)': 1},ship
726,truck,datasets/CIFAR/test/truck/0529.png, A truck is on the road. There is nothing else in the image. (J),{'(J)': 61},truck
727,frog,datasets/CIFAR/test/frog/0892.png, The image is blurred. It is hard to see what is in the image. But it seems like an animal. Maybe a '(H) horse'.,{'(H)': 101},horse
728,frog,datasets/CIFAR/test/frog/0363.png, A dog is sitting on the grass. (F),{'(F)': 32},dog
729,dog,datasets/CIFAR/test/dog/0022.png," A dog is lying on the floor and looking at the camera. The main object in the image is a dog, which is category (F).",{'(F)': 113},dog
730,cat,datasets/CIFAR/test/cat/0372.png, (D) It's a cat.,{'(D)': 1},cat
731,truck,datasets/CIFAR/test/truck/0358.png, The image is blurred. But it looks like a truck. (J),{'(J)': 50},truck
732,deer,datasets/CIFAR/test/deer/0442.png," The image is blurry, but it looks like a cat. (D)",{'(D)': 47},cat
733,automobile,datasets/CIFAR/test/automobile/0738.png, A light green car is parking in a parking lot. There is nothing around the car. (B),{'(B)': 81},automobile
734,dog,datasets/CIFAR/test/dog/0207.png, There is a blurred image of a dog laying down. (F),{'(F)': 48},dog
735,dog,datasets/CIFAR/test/dog/0786.png, This is a blurry image of a horse lying on its side. (H),{'(H)': 54},horse
736,truck,datasets/CIFAR/test/truck/0640.png, There is a truck in the driveway of a house. The truck is red and the house is white. (J),{'(J)': 87},truck
737,ship,datasets/CIFAR/test/ship/0326.png," The image shows a large white and red ship on the ocean. The main object in the image is a ship, so the answer is (I).",{'(I)': 115},ship
738,cat,datasets/CIFAR/test/cat/0077.png, There is a squirrel. Its tail is very bushy. (D),{'(D)': 46},cat
739,bird,datasets/CIFAR/test/bird/0478.png," (C)
The main object in the image is a bird.",{'(C)': 1},bird
740,horse,datasets/CIFAR/test/horse/0795.png, (H),{'(H)': 1},horse
741,automobile,datasets/CIFAR/test/automobile/0191.png," This is a photo of a red car parked on a driveway. There is a fence to the left of the car. There is a bush and some grass in the background. The main object in the image is a car, so the answer is (B).",{'(B)': 199},automobile
742,airplane,datasets/CIFAR/test/airplane/0421.png," There is a bird on a branch. The main object in the image is a bird.
(C)",{'(C)': 70},bird
743,cat,datasets/CIFAR/test/cat/0275.png," (D)
The image shows a white cat sitting on the ground and looking away from the camera. The background is blurry and dark.",{'(D)': 1},cat
744,cat,datasets/CIFAR/test/cat/0505.png," (D)
The main object in the image is a cat.",{'(D)': 1},cat
745,cat,datasets/CIFAR/test/cat/0688.png, A cat is sitting on a white surface. (D),{'(D)': 38},cat
746,automobile,datasets/CIFAR/test/automobile/0889.png, This is a photo of a blue sports car on an asphalt road. The background is blurred. The main object in the image is an automobile. (B),{'(B)': 132},automobile
747,bird,datasets/CIFAR/test/bird/0840.png, A photo of a black cat sitting on a white table. (D),{'(D)': 50},cat
748,bird,datasets/CIFAR/test/bird/0408.png, (C) A bird perching on a branch.,{'(C)': 1},bird
749,dog,datasets/CIFAR/test/dog/0827.png, This is a picture of a frog sitting on a rock. (G),{'(G)': 48},frog
750,airplane,datasets/CIFAR/test/airplane/0154.png," There is a truck and a horse in the image.
(J)(H)","{'(H)': 47, '(J)': 44}",truck
751,truck,datasets/CIFAR/test/truck/0577.png, A close up of the front of a semi truck. (J),{'(J)': 42},truck
752,horse,datasets/CIFAR/test/horse/0912.png," The image is blurry, but it looks like a horse jumping over an obstacle. (H)",{'(H)': 74},horse
753,bird,datasets/CIFAR/test/bird/0713.png, (H),{'(H)': 1},horse
754,deer,datasets/CIFAR/test/deer/0628.png," This is a blurry image of a brown horse. The background is green, showing it is in a field. (H)",{'(H)': 93},horse
755,cat,datasets/CIFAR/test/cat/0272.png, This is a picture of a horse. (H),{'(H)': 31},horse
756,horse,datasets/CIFAR/test/horse/0332.png, There is a brown horse in the image. (H),{'(H)': 38},horse
757,truck,datasets/CIFAR/test/truck/0265.png, There is a yellow toy truck in the image. (J),{'(J)': 43},truck
758,airplane,datasets/CIFAR/test/airplane/0063.png, There is a green airplane on the runway. The main object in the image is (A) airplane.,{'(A)': 74},airplane
759,dog,datasets/CIFAR/test/dog/0942.png, The image is blurry. There is a dog in the image. (F),{'(F)': 51},dog
760,dog,datasets/CIFAR/test/dog/0836.png," The image is a photo of a white dog. The dog is looking at the camera with its tongue out. The background is blurry, but it looks like the dog is in a house. The main object in the image is a dog, so the answer is (F).",{'(F)': 215},dog
761,automobile,datasets/CIFAR/test/automobile/0765.png, A gray-scale image of a car. (B),{'(B)': 30},automobile
762,frog,datasets/CIFAR/test/frog/0531.png, There is a blurred image of an animal. It looks like a frog. (G),{'(G)': 62},frog
763,truck,datasets/CIFAR/test/truck/0807.png, There is a white truck in the front and a black truck behind it. There is a building in the background. (J),{'(J)': 105},truck
764,truck,datasets/CIFAR/test/truck/0345.png," The image shows a parking lot with cars parked in rows. There is a white truck in the foreground, and a row of cars behind it, including a silver car, a black car, and a red car. There are also cars parked on the left and right sides of the truck. The main object in the image is a truck, so the answer is (J).",{'(J)': 307},truck
765,cat,datasets/CIFAR/test/cat/0022.png, The image is blurry. There is a white surface below and a brown surface above. The brown surface has some texture. It looks like a log floating on water. The main object in the image is a log. Answer: (H),{'(H)': 202},horse
766,deer,datasets/CIFAR/test/deer/0817.png, This is an image of a horse. There is a horse standing in a snowy field. The horse is brown and white. The background is a snowy field with trees. (H),{'(H)': 148},horse
767,horse,datasets/CIFAR/test/horse/0129.png, The image shows a brown horse standing in a grassy field. The horse is the main object in the image. (H),{'(H)': 102},horse
768,automobile,datasets/CIFAR/test/automobile/0189.png," The image shows a blurred car.
(B)",{'(B)': 32},automobile
769,bird,datasets/CIFAR/test/bird/0844.png," There is a blurred image of a bicycle wheel. The main object in the image is a bicycle wheel, which is part of a bicycle, which is a vehicle that can be categorized as (B) automobile.",{'(B)': 169},automobile
770,cat,datasets/CIFAR/test/cat/0938.png, This is a photo of a cat sitting on a wooden table. The cat is looking at the camera. There is a green mat on the table. The background is blurred. (D),{'(D)': 149},cat
771,automobile,datasets/CIFAR/test/automobile/0525.png," This is a picture of the side of a police car. The main object in the image is a car, which is labeled (B).",{'(B)': 104},automobile
772,frog,datasets/CIFAR/test/frog/0962.png, There is a plastic bag with green grass clippings in it. (J),{'(J)': 58},truck
773,airplane,datasets/CIFAR/test/airplane/0057.png," This is a blurred image of an airplane.
(A)",{'(A)': 41},airplane
774,automobile,datasets/CIFAR/test/automobile/0882.png," This is a picture of a white vintage car parked on the side of the road. The background of the image is blurred. There is nothing else in the image. The main object in the image is a car, so the answer is '(B)'.",{'(B)': 207},automobile
775,automobile,datasets/CIFAR/test/automobile/0628.png, A car is parked on a paved road. The car is blue and has a white bumper. The car is in focus and the background is blurred. (B),{'(B)': 125},automobile
776,deer,datasets/CIFAR/test/deer/0659.png, This is a picture of a horse. (H),{'(H)': 31},horse
777,deer,datasets/CIFAR/test/deer/0136.png, There is a blurred image of an elk. The main object in the image is (E) deer.,{'(E)': 69},deer
778,ship,datasets/CIFAR/test/ship/0486.png," This is a photo of a truck. The truck is white and red. The truck is carrying a load of lumber. The truck is parked on a road. There are trees in the background. The main object in the image is a truck, so the answer is (J).",{'(J)': 221},truck
779,horse,datasets/CIFAR/test/horse/0010.png, There is a photo of a horse. The main object in the image is (H) horse.,{'(H)': 62},horse
780,bird,datasets/CIFAR/test/bird/0815.png," The image shows a grass field with a white bird in the middle. The main object in the image is a bird.
(C)",{'(C)': 104},bird
781,airplane,datasets/CIFAR/test/airplane/0432.png," (A)
The main object in the image is an airplane.",{'(A)': 1},airplane
782,truck,datasets/CIFAR/test/truck/0247.png, This is a blurry image of the front of a bus. The main object in the image is a bus. So the answer is '(I)'.,{'(I)': 104},ship
783,horse,datasets/CIFAR/test/horse/0217.png, A man is riding a white horse. (H),{'(H)': 32},horse
784,deer,datasets/CIFAR/test/deer/0008.png," There is a horse in the image.
(H)",{'(H)': 32},horse
785,horse,datasets/CIFAR/test/horse/0957.png, A brown horse is standing on the grass field. (H),{'(H)': 47},horse
786,airplane,datasets/CIFAR/test/airplane/0702.png," The image is a photo of a plane. The main object in the image is an airplane.
(A)",{'(A)': 79},airplane
787,dog,datasets/CIFAR/test/dog/0813.png, There is a blurred image of a dog's face. (F),{'(F)': 43},dog
788,bird,datasets/CIFAR/test/bird/0707.png, A small bird is perched on a branch. (C),{'(C)': 38},bird
789,dog,datasets/CIFAR/test/dog/0356.png," (F)
The main object in the image is a dog.",{'(F)': 1},dog
790,ship,datasets/CIFAR/test/ship/0572.png," The image is blurred, but it looks like there is a truck in the image. (J)",{'(J)': 72},truck
791,horse,datasets/CIFAR/test/horse/0232.png," This is a blurry image of a horse. The main object in the image is a horse, which is in category (H).",{'(H)': 98},horse
792,horse,datasets/CIFAR/test/horse/0225.png," The image is of a white horse standing on a green field. The main object in the image is a horse, so the answer is (H).",{'(H)': 116},horse
793,frog,datasets/CIFAR/test/frog/0192.png," There is a brown horse standing in a lush green field. The horse is facing away from the camera, but its head is turned slightly to the left. The horse's mane and tail are long and flowing, and its coat is a deep, rich brown. The field is green and grassy, with a few small trees in the background. The sky is a clear blue, with a few wispy clouds. (H)",{'(H)': 350},horse
794,airplane,datasets/CIFAR/test/airplane/0870.png, (A),{'(A)': 1},airplane
795,bird,datasets/CIFAR/test/bird/0493.png, The image is blurred and it is hard to distinguish the objects. But it seems like a cat is lying on the grass. (D),{'(D)': 112},cat
796,automobile,datasets/CIFAR/test/automobile/0347.png," This is a picture of a blue car parked on a road. There is a green field and hill in the background. The main object in the image is a car, which is labeled as (B).",{'(B)': 161},automobile
797,airplane,datasets/CIFAR/test/airplane/0377.png," A plane is shown in the image. The main object in the image is an airplane.
(A)",{'(A)': 77},airplane
798,ship,datasets/CIFAR/test/ship/0555.png, A large red and white ship is on the ocean. There is a small white object in the foreground of the photo. The main object in the image is a ship. Answer: (I),{'(I)': 155},ship
799,dog,datasets/CIFAR/test/dog/0029.png, This is a picture of a dog's eye. The main object in the image is a dog. Answer: (F),{'(F)': 82},dog
800,automobile,datasets/CIFAR/test/automobile/0979.png, This is a blurred image of the front of a black car. (B),{'(B)': 54},automobile
801,truck,datasets/CIFAR/test/truck/0857.png," The image is blurry, but it looks like the front of a red fire truck. (J)",{'(J)': 71},truck
802,truck,datasets/CIFAR/test/truck/0612.png," There is a white truck in the image.
(J)",{'(J)': 38},truck
803,cat,datasets/CIFAR/test/cat/0365.png," There is a monkey sitting on a rock in the image. The main object in the image is a monkey, which is in category (D).",{'(D)': 114},cat
804,ship,datasets/CIFAR/test/ship/0877.png, A speed boat is skimming across the water. (I),{'(I)': 44},ship
805,truck,datasets/CIFAR/test/truck/0762.png," The image is blurred, but it looks like a truck. The main object in the image is a truck, so the answer is (J).",{'(J)': 108},truck
806,bird,datasets/CIFAR/test/bird/0971.png, A close-up image of a bird. (C),{'(C)': 29},bird
807,truck,datasets/CIFAR/test/truck/0597.png, There is a blurred image of an airplane. (A),{'(A)': 42},airplane
808,frog,datasets/CIFAR/test/frog/0381.png," This is a blurred image of a frog sitting on a green leaf. The main object in the image is a frog, which is in category (G).",{'(G)': 121},frog
809,horse,datasets/CIFAR/test/horse/0800.png, A horse is standing on a green field. (H),{'(H)': 39},horse
810,airplane,datasets/CIFAR/test/airplane/0768.png, (A),{'(A)': 1},airplane
811,horse,datasets/CIFAR/test/horse/0769.png," The image is a photo of a brown horse standing on a green field. The background is blurred. The main object in the image is a horse, which is labeled as (H).",{'(H)': 154},horse
812,airplane,datasets/CIFAR/test/airplane/0458.png," There is a toy airplane on a beige carpet. The main object in the image is an airplane, so the answer is '(A)'.",{'(A)': 107},airplane
813,truck,datasets/CIFAR/test/truck/0986.png, The image shows a white and orange house on the road. There is a large window on the front of the house. The house is surrounded by trees. The main object in the image is a house which is category (J).,{'(J)': 198},truck
814,dog,datasets/CIFAR/test/dog/0063.png," There is a close up of a dog's face. The dog is white and brown, and it is looking up at the camera with its mouth slightly open and its tongue hanging out. The background is blurry and light colored. (F)",{'(F)': 202},dog
815,ship,datasets/CIFAR/test/ship/0261.png, There is a large ship in the middle of the image. There are some buildings and trees on the coast. The main object in the image is (I).,{'(I)': 132},ship
816,truck,datasets/CIFAR/test/truck/0972.png, A dog is playing with a ball in the backyard. There is a house in the background. (F),{'(F)': 83},dog
817,airplane,datasets/CIFAR/test/airplane/0042.png," There is a plane in the sky. The main object in the image is airplane.
(A)",{'(A)': 72},airplane
818,frog,datasets/CIFAR/test/frog/0587.png," The image is blurred, but it looks like a cat. (D)",{'(D)': 48},cat
819,truck,datasets/CIFAR/test/truck/0252.png," The image is blurry, but it seems to be a truck. (J)",{'(J)': 50},truck
820,cat,datasets/CIFAR/test/cat/0333.png, A close-up image of a chameleon sitting on a person's hand. (G),{'(G)': 61},frog
821,dog,datasets/CIFAR/test/dog/0637.png," The image is a photo of a white dog. The dog is looking at the camera. The background is brown. The main object in the image is a dog, so the answer is (F).",{'(F)': 153},dog
822,deer,datasets/CIFAR/test/deer/0201.png, There is a deer standing on the grass field. The main object in the image is (E).,{'(E)': 78},deer
823,horse,datasets/CIFAR/test/horse/0680.png, A horse is standing on the grass. (H),{'(H)': 35},horse
824,dog,datasets/CIFAR/test/dog/0613.png, (F) A dog is sitting on the floor and looking up at the camera.,{'(F)': 1},dog
825,ship,datasets/CIFAR/test/ship/0832.png," The image is of a boat on the water. The main object in the image is a boat, so the answer is (I).",{'(I)': 95},ship
826,frog,datasets/CIFAR/test/frog/0773.png," The image is blurry, but it looks like a picture of a dog. (F)",{'(F)': 60},dog
827,automobile,datasets/CIFAR/test/automobile/0496.png, A scene of a parking lot with a silver car in the foreground. (B),{'(B)': 63},automobile
828,truck,datasets/CIFAR/test/truck/0833.png," This is a photo of a blue and gray toy truck. The main object in the image is a truck, so the answer is (J).",{'(J)': 105},truck
829,dog,datasets/CIFAR/test/dog/0493.png, The image is a close-up of a white cat's paw. The main object in the image is a cat. (D),{'(D)': 86},cat
830,ship,datasets/CIFAR/test/ship/0739.png, The image is of a boat. The main object in the image is a ship. (I),{'(I)': 65},ship
831,bird,datasets/CIFAR/test/bird/0876.png, There is a horse standing in a lush green field. (H),{'(H)': 50},horse
832,dog,datasets/CIFAR/test/dog/0583.png," The image is blurred, but it looks like a dog. (F)",{'(F)': 48},dog
833,truck,datasets/CIFAR/test/truck/0383.png, A car is slightly blurred in the middle of the image. (B),{'(B)': 55},automobile
834,ship,datasets/CIFAR/test/ship/0224.png," The image is blurred, but it looks like a ship. (I)",{'(I)': 49},ship
835,ship,datasets/CIFAR/test/ship/0227.png, The image is blurred but it seems to be a photo of a harbor with ships docked at the piers. (I),{'(I)': 93},ship
836,frog,datasets/CIFAR/test/frog/0678.png, There are some green leaves and a yellow flower. The main object in the image is (D).,{'(D)': 82},cat
837,truck,datasets/CIFAR/test/truck/0441.png," There is a yellow toy car on a white background. The main object in the image is a toy car, which is in category (B).",{'(B)': 114},automobile
838,horse,datasets/CIFAR/test/horse/0160.png, There is a white horse standing on the grass field. There is a tree and some bushes behind the horse. The main object in the image is (H) horse.,{'(H)': 135},horse
839,deer,datasets/CIFAR/test/deer/0094.png, There is a deer standing in a lush green field. The deer is in the foreground and the background is blurred. (E),{'(E)': 110},deer
840,frog,datasets/CIFAR/test/frog/0432.png," This is a blurry picture of a frog sitting on a lily pad. The main object in the image is a frog, which is labeled as (G).",{'(G)': 119},frog
841,cat,datasets/CIFAR/test/cat/0645.png, There is a brown dog lying on the ground. The background is blurred. (F),{'(F)': 70},dog
842,truck,datasets/CIFAR/test/truck/0744.png," The image shows a fire truck. The main object in the image is a fire truck, which is in category (B).",{'(B)': 98},automobile
843,ship,datasets/CIFAR/test/ship/0214.png, The image shows a large white ship on the ocean. The ship is docked and there are no people on it. The water is calm and there are no other boats in sight. The sky is clear and there are no clouds. The main object in the image is a ship. Answer: (I),{'(I)': 247},ship
844,cat,datasets/CIFAR/test/cat/0912.png, A gray cat is sitting on a white background. (D),{'(D)': 46},cat
845,truck,datasets/CIFAR/test/truck/0183.png," The image is blurred, but it looks like a truck. (J)",{'(J)': 50},truck
846,deer,datasets/CIFAR/test/deer/0263.png," The image is blurred, but it looks like a group of (H) horses.",{'(H)': 52},horse
847,cat,datasets/CIFAR/test/cat/0787.png," (D)
The main object in the image is a cat.",{'(D)': 1},cat
848,deer,datasets/CIFAR/test/deer/0684.png," The image is blurry, but it looks like a picture of a dog. (F)",{'(F)': 60},dog
849,frog,datasets/CIFAR/test/frog/0488.png, The image is very blurry and I can't make out what it is. (G),{'(G)': 59},frog
850,cat,datasets/CIFAR/test/cat/0981.png, The image is a close-up of a tree trunk. The main object in the image is a tree trunk. (H),{'(H)': 88},horse
851,dog,datasets/CIFAR/test/dog/0125.png, A dog is playing with a ball. (F),{'(F)': 31},dog
852,horse,datasets/CIFAR/test/horse/0091.png," There are two black horses standing on the grass field. The main objects in the image are horses, which belong to category (H).",{'(H)': 124},horse
853,truck,datasets/CIFAR/test/truck/0380.png, The image is blurred. It is difficult to tell what the main object is. But it is likely to be a truck because of the shape of the cabin. (J),{'(J)': 138},truck
854,ship,datasets/CIFAR/test/ship/0949.png, The image shows a speed boat on the water. There are two people on the boat. The main object in the image is a boat. So the answer is (I).,{'(I)': 135},ship
855,automobile,datasets/CIFAR/test/automobile/0264.png," The image shows a red car. The main object in the image is a car, which is in category (B).",{'(B)': 88},automobile
856,dog,datasets/CIFAR/test/dog/0170.png," (H)
The main object in the image is a horse.",{'(H)': 1},horse
857,bird,datasets/CIFAR/test/bird/0799.png, There is a horse standing in a field. (H),{'(H)': 39},horse
858,airplane,datasets/CIFAR/test/airplane/0153.png," There is a semi-truck with a white trailer attached to it. There is a building in the background. The main object in the image is a truck, so the answer is (J).",{'(J)': 157},truck
859,ship,datasets/CIFAR/test/ship/0896.png," This is a photo of a ship.
(I)",{'(I)': 28},ship
860,airplane,datasets/CIFAR/test/airplane/0192.png, The image shows a desert with a clear blue sky. There is a small house in the middle of the desert. The main object in the image is a house which is among the category (B).,{'(B)': 169},automobile
861,dog,datasets/CIFAR/test/dog/0550.png, There is a brown dog sitting on the floor. (F),{'(F)': 44},dog
862,deer,datasets/CIFAR/test/deer/0316.png, There is a deer standing on the grass field. The main object in the image is (E).,{'(E)': 78},deer
863,ship,datasets/CIFAR/test/ship/0525.png, A boat is parked on a trailer in a parking lot. There are trees and buildings in the background. (I),{'(I)': 98},ship
864,deer,datasets/CIFAR/test/deer/0128.png, A deer is standing on the grass field. (E),{'(E)': 40},deer
865,airplane,datasets/CIFAR/test/airplane/0524.png," The image shows an airplane flying in the sky. The main object in the image is an airplane.
(A)",{'(A)': 93},airplane
866,airplane,datasets/CIFAR/test/airplane/0668.png," This is an image of airplanes at the airport. There are two airplanes. One is a United airplane. The other one is blurred. The main objects in the image are airplanes, which belong to category (A).",{'(A)': 194},airplane
867,cat,datasets/CIFAR/test/cat/0976.png," This is a blurred image of a cat lying on the floor. The main object in the image is a cat, so the answer is (D).",{'(D)': 110},cat
868,dog,datasets/CIFAR/test/dog/0051.png," There is a black dog with a white belly lying on the floor. The dog's left eye is visible. The background is blurry, but it looks like there is a wall behind the dog. (F)",{'(F)': 168},dog
869,airplane,datasets/CIFAR/test/airplane/0673.png," This is a blurred image of a bird.
(C)",{'(C)': 36},bird
870,horse,datasets/CIFAR/test/horse/0805.png, A man riding a horse. (H),{'(H)': 23},horse
871,dog,datasets/CIFAR/test/dog/0376.png, (F) It is a dog.,{'(F)': 1},dog
872,dog,datasets/CIFAR/test/dog/0990.png, The image is blurred. There is a dog in the image. (F),{'(F)': 52},dog
873,cat,datasets/CIFAR/test/cat/0050.png," There is a cat lying on the ground. The cat is white and gray. The background is white. The main object in the image is a cat, so the answer is (D).",{'(D)': 145},cat
874,airplane,datasets/CIFAR/test/airplane/0186.png," The image is of an airplane. The main object in the image is an airplane.
(A)",{'(A)': 75},airplane
875,frog,datasets/CIFAR/test/frog/0953.png, There is a brown horse standing on the green grass field. (H),{'(H)': 59},horse
876,frog,datasets/CIFAR/test/frog/0182.png, A close-up image of a frog sitting on a green leaf. (G),{'(G)': 53},frog
877,horse,datasets/CIFAR/test/horse/0077.png, A horse is jumping over an obstacle. (H),{'(H)': 38},horse
878,dog,datasets/CIFAR/test/dog/0152.png, A dog is lying on the grass. (F),{'(F)': 30},dog
